"accountId","productId","interactionYearMonth","Actual_Segment","Potential_Segment","AP_9_segment_label","AP_priority_segment","accountUid"
34401,1016,202305,"low","medium","low_medium","D","0015f00000UbGyDAAV"
34467,1016,202305,"low","medium","low_medium","D","0015f00000UbOr4AAF"
34482,1016,202305,"low","high","low_high","C","0015f00000UbQjjAAF"
34495,1016,202305,"low","medium","low_medium","D","0015f00000UbT1JAAV"
34521,1016,202305,"low","medium","low_medium","D","0015f00000UbWM9AAN"
34580,1016,202305,"low","medium","low_medium","D","0015f00000UbeSvAAJ"
34688,1016,202305,"low","high","low_high","C","0015f00000UbrpvAAB"
34691,1016,202305,"low","medium","low_medium","D","0015f00000Ubs3nAAB"
34692,1016,202305,"low","medium","low_medium","D","0015f00000UbsGeAAJ"
34814,1016,202305,"low","medium","low_medium","D","0015f00000Uc7rSAAR"
34818,1016,202305,"low","medium","low_medium","D","0015f00000Uc87BAAR"
34828,1016,202305,"low","low","low_low","E","0015f00000Uc8d9AAB"
34829,1016,202305,"low","low","low_low","E","0015f00000Uc8inAAB"
34869,1016,202305,"low","high","low_high","C","0015f00000UcEbRAAV"
34882,1016,202305,"high","low","high_low","C","0015f00000UcGRlAAN"
34903,1016,202305,"low","low","low_low","E","0015f00000UcIynAAF"
34943,1016,202305,"low","medium","low_medium","D","0015f00000UcPuLAAV"
35028,1016,202305,"low","medium","low_medium","D","0015f00000Uca7GAAR"
35067,1016,202305,"low","low","low_low","E","0015f00000Uci9YAAR"
35147,1016,202305,"low","medium","low_medium","D","0015f00000UcrxIAAR"
35180,1016,202305,"low","medium","low_medium","D","0015f00000UcxAlAAJ"
35215,1016,202305,"low","medium","low_medium","D","0015f00000Ud08ZAAR"
35260,1016,202305,"low","medium","low_medium","D","0015f00000Ud6BRAAZ"
35291,1016,202305,"high","low","high_low","C","0015f00000UdAKRAA3"
35299,1016,202305,"low","high","low_high","C","0015f00000UdBHDAA3"
35309,1016,202305,"high","high","high_high","A","0015f00000UdD32AAF"
35318,1016,202305,"low","medium","low_medium","D","0015f00000UdE1vAAF"
35378,1016,202305,"low","medium","low_medium","D","0015f00000UdLzZAAV"
35393,1016,202305,"low","low","low_low","E","0015f00000UdO5cAAF"
35494,1016,202305,"low","medium","low_medium","D","0015f00000UdZnbAAF"
35637,1016,202305,"low","medium","low_medium","D","0015f00000UdsmGAAR"
35648,1016,202305,"low","high","low_high","C","0015f00000UduDwAAJ"
35660,1016,202305,"low","medium","low_medium","D","0015f00000UdvSKAAZ"
35670,1016,202305,"high","medium","high_medium","B","0015f00000UdwlBAAR"
35679,1016,202305,"high","medium","high_medium","B","0015f00000UdxDiAAJ"
35682,1016,202305,"low","medium","low_medium","D","0015f00000UdxOZAAZ"
35694,1016,202305,"low","high","low_high","C","0015f00000Udz3rAAB"
35696,1016,202305,"high","low","high_low","C","0015f00000UdzCnAAJ"
35702,1016,202305,"low","high","low_high","C","0015f00000Udzx0AAB"
35705,1016,202305,"high","low","high_low","C","0015f00000Ue0KlAAJ"
35709,1016,202305,"high","low","high_low","C","0015f00000Ue0X0AAJ"
35751,1016,202305,"low","medium","low_medium","D","0015f00000Ue4igAAB"
35766,1016,202305,"low","medium","low_medium","D","0015f00000Ue6iGAAR"
35810,1016,202305,"low","high","low_high","C","0015f00000UeD0DAAV"
35839,1016,202305,"low","medium","low_medium","D","0015f00000UeGHuAAN"
35849,1016,202305,"low","high","low_high","C","0015f00000UeHbQAAV"
35914,1016,202305,"low","high","low_high","C","0015f00000UeOfVAAV"
35933,1016,202305,"high","low","high_low","C","0015f00000UeQpyAAF"
36017,1016,202305,"low","medium","low_medium","D","0015f00000UeamkAAB"
36023,1016,202305,"low","medium","low_medium","D","0015f00000UebQxAAJ"
36057,1016,202305,"low","medium","low_medium","D","0015f00000UegJzAAJ"
36061,1016,202305,"low","medium","low_medium","D","0015f00000Uegi5AAB"
36072,1016,202305,"low","medium","low_medium","D","0015f00000UeiBwAAJ"
36076,1016,202305,"low","medium","low_medium","D","0015f00000UeiMxAAJ"
36082,1016,202305,"low","high","low_high","C","0015f00000Uej8SAAR"
36084,1016,202305,"high","low","high_low","C","0015f00000UejakAAB"
36151,1016,202305,"low","medium","low_medium","D","0015f00000Ueqs2AAB"
36200,1016,202305,"low","high","low_high","C","0015f00000UexTEAAZ"
36241,1016,202305,"low","medium","low_medium","D","0015f00000Uf1rKAAR"
36249,1016,202305,"low","medium","low_medium","D","0015f00000Uf3BYAAZ"
